
erro 25 0 1 100 (25/2)*exp(-t/25)+(25/2)*exp(-3*t/25)
euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25))
euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25))
euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25))
runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25))
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 2
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 3
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 4
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 5
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 6
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 7
adam_bashforth_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 8
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 2
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 3
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 4
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 5
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 6
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 7
adam_bashforth_by_euler_inverso 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 8
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 2
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 3
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 4
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 5
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 6
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 7
adam_bashforth_by_euler_aprimorado 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 8
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 2
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 3
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 4
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 5
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 6
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 7
adam_bashforth_by_runge_kutta 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 8
adam_moulton_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 2
adam_moulton_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 3
adam_moulton_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 4
adam_moulton_by_euler 25 0 1 100 ((-1/2)*exp(-t/25)-(3/2)*exp(-3*t/25)) 5
